song,artist,decade,total_lines,unique_lines,total_words,unique_words,top_common_words,top_uncommon_words,neg,neu,pos,compound
somebody to love,queen,1970,45,38,288,257,"somebody,i,to,me,find,love,my,the,can,and","somebody,find,love,lord,anybody,,get,hard,i'm,got",0.121,0.623,0.255,0.9959
we are the champions,queen,1970,34,24,212,133,"the,and,we,are,on,my,champions,i've,no,time","champions,i've,time,friends,we'll,keep,fighting,till,end,cham",0.178,0.565,0.257,0.9795
we will rock you,queen,1970,20,13,151,109,"you,we,will,rock,big,the,man,your,some,on","rock,big,man,buddy,gonna,day,got,face,disgrace,place",0.087,0.873,0.04,-0.7717
temple of the king,rainbow,1970,44,34,279,218,"the,of,one,in,to,day,just,year,fox,a","one,day,year,fox,time,strong,bell,temple,king,circle",0.017,0.8,0.183,0.9938
come and get your love,redbone,1970,37,18,312,156,"la,your,and,get,come,love,hey,it,the,with","la,get,come,love,hey,matter,baby,what's,find,feel",0.011,0.629,0.36,0.9993
kahit maputi na ang buhok ko,rey valera,1970,20,17,107,86,"ang,na,ko,sa'yo,ay,buhok,natin,maputi,kung,tayo","ang,na,ko,sa'yo,ay,buhok,natin,maputi,kung,tayo",0.0,1.0,0.0,0.0
i dont want to talk about it,rod stewart,1970,20,11,152,81,"i,my,heart,you,if,the,stay,here,don't,to","heart,stay,wanna,talk,broke,little,bit,longer,listen,oh",0.105,0.895,0.0,-0.9217
maggie may,rod stewart,1970,25,21,282,240,"i,you,a,my,to,and,me,from,maggie,but","maggie,oh,tried,stole,really,lured,away,home,save,alone",0.109,0.683,0.209,0.9883
sailing,rod stewart,1970,13,10,143,108,"to,be,you,i,am,sailing,can,the,near,free","sailing,near,free,hear,'cross,flying,home,sea,stormy,waters",0.0,0.871,0.129,0.9584
escape the pina colada song,rupert holmes,1970,38,38,221,221,"i,the,and,in,a,of,my,lady,like,if","lady,like,i'm,read,paper,personal,piña,coladas,caught,rain",0.067,0.773,0.16,0.9635
black magic woman,santana,1970,9,9,118,118,"me,your,got,on,baby,i,magic,a,woman,black","got,baby,magic,woman,black,turn,back,spell,can't,blind",0.133,0.82,0.046,-0.9099
bridge over troubled water,simon garfunkel,1970,29,22,150,111,"when,your,i,will,a,on,like,bridge,over,troubled","like,bridge,troubled,water,lay,i'm,sail,shine,mind,weary",0.218,0.689,0.094,-0.9513
cecilia,simon garfunkel,1970,25,13,139,72,"my,i'm,on,cecilia,come,you're,home,to,i,breaking","i'm,cecilia,come,home,breaking,heart,shaking,confidence,daily,oh",0.053,0.734,0.213,0.9801
scarborough fair,simon garfunkel,1970,21,12,143,86,"a,of,to,and,parsley,sage,rosemary,thyme,true,love","parsley,sage,rosemary,thyme,true,love,mine,tell,she'll,going",0.0,0.746,0.254,0.9909
the only living boy in new york,simon garfunkel,1970,23,15,157,107,"i,the,know,here,am,your,time,to,only,living","know,time,living,boy,new,york,get,shine,tom,plane",0.0,0.901,0.099,0.9377
living next door to alice,smokie,1970,33,21,340,206,"to,i,alice,and,she's,know,her,for,door,get","alice,know,door,get,got,twentyfour,years,i've,living,next",0.009,0.957,0.034,0.8047
stuck in the middle with you,stealers wheel,1970,35,20,281,168,"the,i,to,and,i'm,you,here,that,right,in","i'm,right,well,clowns,left,jokers,stuck,middle,please,wondering",0.092,0.769,0.139,0.8505
the joker,steve miller band,1970,49,30,272,188,"i'm,a,the,i,don't,you,cause,loveydovey,me,baby","i'm,cause,loveydovey,baby,worry,right,want,people,love,sure",0.088,0.607,0.305,0.9966
give a little bit,supertramp,1970,15,14,148,135,"a,give,little,bit,to,of,you,i'll,need,your","give,little,bit,i'll,need,love,oh,home,share,life",0.016,0.792,0.192,0.9788
psycho killer,talking heads,1970,25,18,301,194,"fa,run,ohhhh,yeah,aye,que,psycho,killer,qu'est,c'est","fa,run,ohhhh,yeah,aye,que,psycho,killer,qu'est,c'est",0.132,0.716,0.152,0.2953
melissa,the allman brothers band,1970,21,21,152,152,"the,to,melissa,his,he,will,and,gypsy,no,on","melissa,gypsy,roll,crossroads,come,go,flies,coast,run,sweet",0.174,0.689,0.136,-0.879
across the universe,the beatles,1970,30,16,193,127,"my,nothing's,gonna,change,world,me,a,they,of,and","nothing's,gonna,change,world,jai,guru,deva,like,across,universe",0.041,0.846,0.112,0.9313
dont let me down,the beatles,1970,14,7,151,95,"me,don't,let,down,she,done,ever,loved,oo,does","let,done,ever,loved,oo,really,love,nobody,like,yes",0.012,0.76,0.228,0.9901
get back,the beatles,1970,24,10,145,68,"get,back,to,where,you,once,belonged,was,she,a","get,back,belonged,jojo,man,thought,loner,knew,last,left",0.011,0.961,0.027,0.5187
let it be,the beatles,1970,20,11,198,115,"be,let,it,of,in,me,is,the,there,when","let,speaking,words,wisdom,e310003,mother,mary,comes,answer,still",0.037,0.892,0.071,0.7845
the long and winding road,the beatles,1970,23,23,146,146,"me,the,long,and,to,here,road,your,door,i've","long,road,door,i've,lead,da,winding,leads,left,standing",0.062,0.929,0.009,-0.5672
two of us,the beatles,1970,32,16,166,87,"home,on,our,way,we're,you,and,two,of,us","home,way,we're,two,us,back,going,nowhere,memories,longer",0.009,0.984,0.008,-0.0268
boys dont cry,the cure,1970,31,25,200,171,"i,you,that,it,boys,don't,cry,would,to,but","boys,cry,would,try,laugh,thought,know,hiding,tears,eyes",0.124,0.64,0.237,0.9867
listen to the music,the doobie brothers,1970,51,30,282,164,",the,to,oh,music,whoa,whoaaa,listen,you,all",",oh,music,whoa,whoaaa,listen,tiiii,ii,iiime,day",0.018,0.833,0.149,0.9872
riders on the storm,the doors,1970,29,19,143,96,"on,the,a,riders,storm,this,into,we're,your,man","riders,storm,we're,man,world,like,ya,gotta,love,house",0.074,0.713,0.213,0.9652
lola,the kinks,1970,41,36,351,309,"lo,lola,i,and,a,she,well,her,me,the","lo,lola,well,i'm,like,cola,walked,man,champagne,asked",0.022,0.823,0.155,0.9929
strangers,the kinks,1970,30,26,245,217,"we,i,are,and,you,on,so,this,where,mind","mind,road,i've,i'll,strangers,two,one,feel,going,killed",0.084,0.824,0.092,-0.5839
cant you see,the marshall tucker band,1970,31,19,280,118,"can't,you,see,me,woman,to,what,that,been,doin'","can't,see,woman,doin',gonna,i'm,take,train,lord,mountain",0.024,0.976,0.0,-0.7599
message in a bottle,the police,1970,41,22,266,154,"a,i,an,in,sos,hope,my,message,bottle,that","sos,hope,message,bottle,someone,gets,i'll,send,world,yeah",0.04,0.707,0.252,0.9967
roxanne,the police,1970,26,14,204,115,"the,roxanne,you,put,on,red,light,to,don't,have","roxanne,put,red,light,oh,tell,days,sell,body,night",0.054,0.927,0.019,-0.7364
angie,the rolling stones,1970,35,26,194,152,"angie,in,you,all,we,it,but,i,your,will","angie,can't,say,ain't,still,eyes,,gie,clouds,disappear",0.131,0.686,0.182,0.9656
dead flowers,the rolling stones,1970,27,19,238,166,"me,you,i,the,dead,flowers,send,take,and,your","dead,flowers,send,take,know,well,forget,put,roses,grave",0.196,0.721,0.084,-0.9901
gimme shelter,the rolling stones,1970,17,12,200,140,"away,a,it's,just,shot,kiss,war,children,is,very","away,shot,kiss,war,children,today,yeah,rape,murder,ooh",0.262,0.612,0.126,-0.9901
sweet virginia,the rolling stones,1970,20,14,163,113,"come,on,you,your,got,down,to,i,the,sweet","come,got,sweet,shoes,virginia,honey,child,beg,scrape,shit",0.155,0.74,0.105,-0.8119
wild horses,the rolling stones,1970,20,15,153,120,"wild,you,i,horses,me,couldn't,drag,away,them,know","wild,horses,drag,away,know,living,we'll,ride,day,childhood",0.183,0.703,0.114,-0.9296
sweet jane,the velvet underground,1970,44,38,309,278,"la,and,jane,sweet,the,they,to,is,a,in","la,jane,sweet,jack,y'know,oh,2,jim,eyes,ohoha",0.064,0.712,0.224,0.9947
behind blue eyes,the who,1970,40,29,199,146,"to,my,i,be,like,and,no,one,as,knows","like,one,knows,man,bad,sad,behind,blue,eyes,dreams",0.266,0.524,0.21,-0.9401
song to the siren,tim buckley,1970,21,21,144,144,"me,to,you,i,my,oh,heart,the,as,your","oh,heart,sail,let,waiting,hold,sing,touch,i'm,swim",0.11,0.81,0.08,-0.5574
american girl,tom petty and the heartbreakers,1970,19,17,151,133,"she,was,it,to,all,on,an,american,girl,yeah","american,girl,yeah,night,well,little,one,right,take,easy",0.079,0.743,0.179,0.924
hold the line,toto,1970,13,11,137,110,"the,you,it's,not,in,way,that,oh,me,say","way,oh,say,hold,love,e,look,things,line,always",0.0,0.853,0.147,0.9726
lady in black,uriah heep,1970,42,24,334,271,"ahahah,ah,i,and,to,ahah,me,she,her,my","ahahah,ah,ahah,one,men,morning,know,found,fight,asked",0.116,0.727,0.157,0.9796
into the mystic,van morrison,1970,25,21,154,134,"the,and,i,we,into,mystic,when,that,foghorn,blows","mystic,foghorn,blows,hear,soul,wanna,comin',home,fear,rock",0.032,0.845,0.123,0.9294
moondance,van morrison,1970,56,33,352,219,"the,to,you,i,and,with,just,a,make,more","make,love,night,know,youmy,la,romance,one,moondance,magic",0.024,0.746,0.23,0.9976
la grange,zz top,1970,15,15,92,92,"how,hmm,that,and,you,the,i,in,know,if","hmm,know,uh,heh,hear,,rumors,spreadin','round,texas",0.029,0.899,0.072,0.4588
the winner takes it all,abba,1970,64,59,330,295,",the,i,it,a,2,1,3,4,to",",2,1,3,4,takes,winner,loser,someone,fall",0.134,0.663,0.203,0.9816
the gambler,kenny rogers,1970,36,24,408,276,"to,when,the,and,know,you,a,for,'em,he","know,'em,got,away,hold,fold,walk,run,never,count",0.041,0.93,0.029,-0.4404
take me home country roads,john denver,1970,19,13,177,120,"me,home,the,country,roads,take,i,west,virginia,to","home,country,roads,take,west,virginia,place,belong,mountain,mama",0.0,0.959,0.041,0.719
knockin on heavens door,bob dylan,1970,17,10,104,62,"knock,on,heaven's,door,knockin',i,oo,,mama,can't","knock,heaven's,door,knockin',oo,,mama,can't,anymore,dark",0.0,0.98,0.02,0.2584
jolene,dolly parton,1970,31,23,202,156,"jolene,you,of,don't,take,please,my,can,your,i","jolene,take,please,man,i'm,begging,could,like,easily,4",0.03,0.827,0.143,0.9609
aint no sunshine,bill withers,1970,16,9,103,63,"she's,gone,ain't,no,when,away,sunshine,anytime,she,goes","gone,ain't,away,sunshine,anytime,goes,wonder,house,home,warm",0.161,0.715,0.124,-0.7577
american pie,don mclean,1970,78,57,879,648,"the,and,i,day,a,that,be,to,was,but","day,bye,levy,die,singin',music,miss,american,pie,drove",0.165,0.728,0.107,-0.9968
merry xmas everybody,slade,1970,42,21,248,149,"the,you,to,it's,are,a,your,so,here,it","merry,christmas,everybody's,fun,look,future,begun,hanging,stocking,wall",0.0,0.819,0.181,0.994
three little birds,bob marley,1970,30,12,178,72,"thing,little,don't,worry,about,a,cause',every,gonna,be","thing,little,worry,cause',every,gonna,alright,singin',rise,mornin'",0.0,0.711,0.289,0.9934
please come home for christmas,eagles,1970,18,18,138,138,"christmas,be,and,no,the,will,to,once,again,home","christmas,home,happy,sad,friends,night,please,come,new,year's",0.234,0.562,0.204,-0.8336
river,joni mitchell,1970,33,22,235,141,"i,had,a,on,wish,river,and,could,skate,away","wish,river,could,skate,away,oh,i'm,they're,,made",0.11,0.635,0.255,0.9918
redemption song,bob marley,1970,34,25,217,160,"songs,of,the,i,redemption,to,freedom,they,these,all","songs,redemption,freedom,ever,none,'cause,help,sing,e3333,yes",0.178,0.581,0.241,0.9696
you are my sunshine,johnny cash,1970,16,12,119,89,"i,you,my,sunshine,dear,are,when,and,me,happy","sunshine,dear,happy,love,make,skies,gray,never,know,much",0.049,0.55,0.4,0.9948
lean on me,bill withers,1970,37,26,206,135,"on,you,need,we,lean,to,all,have,me,somebody","need,lean,somebody,i'll,call,carry,i'm,strong,friend,help",0.089,0.755,0.156,0.958
step into christmas,elton john,1970,55,26,288,150,"christmas,the,to,and,into,step,you,can,with,me","christmas,step,yeah,i'd,oh,merry,like,let's,join,together",0.006,0.72,0.274,0.9978
isnt she lovely,stevie wonder,1970,21,19,108,98,"she,isn't,lovely,love,one,the,made,from,life,i","lovely,love,one,made,life,done,wonderful,precious,less,minute",0.332,0.531,0.137,-0.9808
mamma mia,abba,1970,44,26,319,198,"i,you,my,mamma,mia,i've,go,how,know,and","mamma,mia,i've,go,know,look,let,since,ever,one",0.196,0.764,0.04,-0.9939
always on my mind,willie nelson,1970,27,19,163,111,"you,i,were,always,on,my,mind,as,have,me","always,mind,maybe,never,love,quite,i'm,lonely,little,things",0.098,0.74,0.162,0.9399
i will survive,gloria gaynor,1970,59,29,636,310,"i,to,and,you,my,now,survive,the,not,me","survive,go,love,think,i'd,know,i've,got,oh,i'll",0.135,0.695,0.17,0.9918
youve got a friend,james taylor,1970,29,21,265,187,"you,and,to,got,yeah,a,call,i'll,you've,friend","got,yeah,call,i'll,friend,know,name,oh,wherever,come",0.049,0.774,0.177,0.9865
vincent,don mclean,1970,28,22,299,243,"the,you,and,to,they,starry,in,how,not,your","starry,tried,listen,night,know,eyes,say,suffered,sanity,set",0.112,0.78,0.108,-0.3296
unchained melody,elvis presley,1970,16,12,89,71,"love,for,your,my,lonely,time,to,me,the,sea","love,lonely,time,sea,wait,oh,darling,i've,hungered,touch",0.113,0.622,0.265,0.9666
no woman no cry,bob marley,1970,35,20,217,132,"no,woman,cry,ev'ry,thing's,gonna,be,alright,said,we","woman,cry,ev'ry,thing's,gonna,alright,said,would,good,tears",0.289,0.577,0.133,-0.986
all things must pass,george harrison,1970,16,9,88,57,"all,must,things,pass,away,last,doesn't,day,my,be","must,things,pass,away,last,day,sunrise,morning,cloudburst,seems",0.05,0.891,0.059,0.2144
dont let it bring you down,neil young,1970,29,22,182,147,"the,and,you,of,down,in,come,man,lying,don't","come,man,lying,let,bring,castles,burning,find,someone,who's",0.106,0.878,0.016,-0.9485
autumn leaves,eric clapton,1970,17,16,58,55,"the,leaves,i,falling,my,of,and,to,you,drift","leaves,falling,drift,window,red,gold,see,lips,summer,kisses",0.073,0.808,0.119,0.705
twelve days of christmas,john denver,1970,102,27,454,132,"a,and,on,the,day,of,christmas,my,true,love","day,christmas,true,love,gave,partridge,pear,tree,two,turtle",0.0,0.821,0.179,0.9979
annies song,john denver,1970,14,9,145,94,"me,you,like,a,in,let,come,fill,my,the","like,let,come,fill,love,senses,night,forest,mountains,springtime",0.044,0.673,0.283,0.9903
the passenger,iggy pop,1970,61,49,426,330,"la,laa,the,and,he,i,ride,sees,see,bright","la,laa,ride,sees,see,bright,tonight,stars,sky,passenger",0.0,0.931,0.069,0.9817
angel from montgomery,john prine,1970,24,16,240,162,"a,to,i,me,just,an,old,that,make,in","old,make,flies,go,angel,montgomery,poster,rodeo,give,one",0.059,0.897,0.044,-0.6542
a case of you,joni mitchell,1970,30,22,284,235,"i,you,a,my,oh,and,in,be,on,of","oh,still,feet,e33,said,bitter,would,blood,like,holy",0.089,0.795,0.117,0.7405
ghost riders in the sky,johnny cash,1970,25,20,227,206,"the,their,he,sky,and,on,riders,in,as,were","sky,riders,yippie,yi,ghost,went,herd,ride,cowboy,riding",0.137,0.84,0.023,-0.9762
close to you,carpenters,1970,34,13,179,78,"you,to,close,they,the,in,just,like,me,long","close,like,long,waahahahah,everytime,day,born,angels,got,together",0.0,0.863,0.137,0.9694
september,earth wind fire,1970,21,17,137,111,"the,remember,love,ba,de,ya,,you,in,september","remember,love,ba,de,ya,,september,night,away,say",0.0,0.794,0.206,0.9868
big yellow taxi,joni mitchell,1970,25,12,231,122,"a,and,they,put,don't,paved,paradise,up,parking,lot","put,paved,paradise,parking,lot,always,seem,go,know,got",0.024,0.805,0.17,0.9915
la musique que jaime,johnny hallyday,1970,45,20,292,129,"le,je,blues,que,les,et,pour,ça,elle,vient","le,je,blues,que,les,et,pour,ça,elle,vient",0.036,0.964,0.0,-0.8176
new york new york,frank sinatra,1970,10,10,97,97,"new,york,of,it,,the,to,i'm,i,a","new,york,,i'm,make,start,want,spreading,news,leaving",0.012,0.941,0.048,0.3182
if you could read my mind,gordon lightfoot,1970,46,36,309,240,"a,i,the,just,you,could,that,and,my,it","could,read,love,like,movie,ghost,know,get,mind,tale",0.081,0.742,0.177,0.9834
chiquitita,abba,1970,40,25,307,198,"you,the,and,chiquitita,i,a,once,sing,is,like","chiquitita,sing,like,new,song,see,tell,cry,try,hope",0.158,0.732,0.109,-0.9323
joulumaa,katri helena,1970,20,17,118,101,"on,joulumaa,sinne,ja,rauhan,jos,moni,muutakin,kuin,ihmismielen","joulumaa,sinne,ja,rauhan,jos,moni,muutakin,kuin,ihmismielen,valtakunta",0.023,0.977,0.0,-0.4215
time in a bottle,jim croce,1970,38,22,254,150,",to,time,the,you,i,do,that,them,with",",time,enough,want,save,bar,could,never,1,i'd",0.008,0.807,0.184,0.989
merry christmas darling,carpenters,1970,39,33,184,154,"i,christmas,wish,you,merry,on,the,to,with,","christmas,wish,merry,,one,darling,eve,new,see,ahh",0.023,0.507,0.47,0.9991
sunday morning coming down,johnny cash,1970,39,31,276,229,"the,and,i,that,sunday,my,a,of,morning,was","sunday,morning,there's,lord,way,day,i'd,songs,street,somewhere",0.075,0.843,0.082,0.2762
50 ways to leave your lover,paul simon,1970,34,26,342,263,"to,the,you,just,be,need,and,your,free,i","need,free,fifty,ways,said,leave,lover,make,slip,back",0.103,0.709,0.189,0.992
i have a dream,abba,1970,32,13,191,85,"i,the,a,in,have,dream,me,you,believe,angels","dream,believe,angels,see,i'll,cross,stream,help,something,good",0.049,0.774,0.177,0.9565
when a child is born,johnny mathis,1970,16,12,130,94,"a,the,all,this,comes,to,pass,when,child,is","comes,pass,child,born,across,land,dawns,brand,new,morn",0.035,0.871,0.094,0.7579
i shot the sheriff,bob marley,1970,45,33,283,231,"i,the,shot,sheriff,but,no,deputy,didn't,shoot,oh","shot,sheriff,deputy,shoot,oh,say,yeah,ooh,e663,day",0.128,0.671,0.201,0.9383
famous blue raincoat,leonard cohen,1970,29,28,282,266,"you,i,the,to,that,and,your,of,for,she","came,i'm,see,jane,go,clear,well,living,yes,lock",0.083,0.751,0.166,0.9767
city of new orleans,arlo guthrie,1970,36,29,314,248,"the,of,and,you,i'm,city,new,orleans,train,morning","i'm,city,new,orleans,train,morning,good,america,say,know",0.038,0.912,0.05,0.5647
drift away,dobie gray,1970,35,21,239,149,"the,i,me,to,and,in,free,my,your,i'm","free,i'm,give,beat,boys,soul,wanna,get,lost,rocknroll",0.1,0.722,0.178,0.969
if we make it through december,merle haggard,1970,18,12,170,114,"be,i,the,december,if,we,make,it,through,time","december,make,time,got,every,thing's,gonna,alright,know,coldest",0.045,0.821,0.134,0.9315
is this love,bob marley,1970,33,14,264,108,"love,is,this,i,wanna,know,we'll,the,you,and","love,wanna,know,we'll,share,right,every,i'm,got,shelter",0.0,0.636,0.364,0.999
i hope that i dont fall in love with you,tom waits,1970,26,25,273,262,"i,you,and,the,that,with,to,in,love,well","love,well,hope,fall,look,i'll,turn,around,see,chair",0.102,0.753,0.145,0.7475
stayin alive,bee gees,1970,54,29,344,176,"ah,stayin',alive,the,i,a,you're,i'm,and,you","ah,stayin',alive,i'm,man,whether,somebody,help,yeah,way",0.059,0.689,0.252,0.9975
on the road again,willie nelson,1970,16,9,199,115,"the,again,on,road,i,can't,wait,to,get,and","road,can't,wait,get,friends,way,life,love,makin',music",0.0,0.809,0.191,0.9915
marys boy child oh my lord,boney m ,1970,48,30,449,287,"oh,my,lord,and,a,they,was,the,to,born","oh,lord,born,christmas,day,us,mary's,boy,child,jesus",0.046,0.815,0.139,0.9919
mammas dont let your babies grow up to be cowboys,waylon jennings,1970,22,15,211,150,"and,don't,let,to,cowboys,be,him,mammas,your,babies","let,cowboys,mammas,babies,grow,'em,love,they're,old,ain't",0.065,0.874,0.06,-0.4713
christmas must be tonight,the band,1970,24,16,217,150,"the,a,be,must,tonight,of,little,son,carpenter,mary","must,tonight,little,son,carpenter,mary,carried,light,christmas,baby",0.018,0.894,0.088,0.9324
